Spanish,English
que,that
de,from
no,no
a,to
la,the
el,the
es,is
y,and
en,in
lo,it
un,a
por,by
qué,that
me,I
una,a
te,tea
los,the
se,I know
con,with
para,for
mi,me
está,this
si,Yes
bien,all right
pero,but
yo,I
eso,that
las,the
sí,Yes
su,its
tu,you
aquí,here
del,of the
al,to the
como,What
le,you
más,plus
esto,this
ya,already
todo,all
esta,is
vamos,come on
muy,very
hay,there are
ahora,now
algo,something
estoy,I'm
tengo,have
nos,us
nada,nothing
cuando,when
ha,ha
sé,he
estás,these
así,So
puedo,may l
cómo,excuse me
quiero,I want
sólo,alone
soy,am
gracias,Thank you
o,or
él,he
fue,it was
ser,be
son,are
todos,everybody
era,it was
vez,time
tienes,you have
creo,I think
ella,she
he,I
ese,that
voy,go
puede,can
sabes,know
hola,Hello
sus,their
porque,because
dios,God
quién,who
nunca,never
dónde,where
quieres,want
casa,home
favor,favor
esa,that
dos,two
tan,so
señor,Sir
tiempo,weather
verdad,truth
estaba,I was
mejor,better
están,is it so
va,he
hombre,man
usted,you
mucho,a lot
hace,make
entonces,then
siento,I feel
tenemos,we have
ahí,there
ti,you
vida,life
ver,watch
alguien,someone
sr,Mr
hasta,until
sin,without
mí,my
solo,only
años,years
sobre,on
decir,tell
uno,one
siempre,forever
oh,oh
ir,to go
cosas,things
antes,before
has,you
ni,neither
mis,my
día,day
estar,to be
estamos,we're
noche,night
nadie,nobody
otra,other
quiere,wants
parece,It seems
nosotros,We
poco,little bit
padre,dad
trabajo,job
gente,people
mira,sight
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,done
ellos,they
dijo,He said
pasa,happens
dinero,money
hijo,son
tal,such
otro,other
hablar,speak
seguro,insurance
claro,Sure
estas,are
lugar,place
amigo,friend
espera,waiting
mierda,shit
han,they have
tus,your
sabe,knows
después,after
momento,moment
desde,since
fuera,outside
cosa,thing
tipo,kind
mañana,morning
dije,said
gran,big
necesito,needed
estado,condition
podría,might
acuerdo,agreement
papá,father
tener,have
dice,He says
mío,Own
crees,think
buena,good
gusta,like
nuestro,our
nuevo,new
será,be
haciendo,doing
nombre,Name
buen,good
había,there was
ven,come
tres,three
menos,less
debe,has to
mal,wrong
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,mother
tienen,have
todas,all
allí,there
toda,all
hora,hour
mujer,woman
visto,viewed
haces,you do
importa,matters
contigo,with you
ve,go
tarde,late
oye,hears
parte,part
haber,to have
hombres,mens
problema,issue
mas,more
saber,to know
quería,wanted
veces,times
nuestra,our
hacerlo,do it
cada,each
hizo,made
veo,I see
tanto,so much
razón,reason
idea,idea
esos,those
van,go
quizá,maybe
debo,I shall
alguna,some
cierto,certain
ud,You
muerto,dead
unos,some
estos,these
salir,get out
policía,policeman
demasiado,too
familia,family
pueden,they can
hemos,we have
amigos,friends
chica,girl
cariño,sweetie
lado,side
allá,there
minutos,minutes
digo,say
algún,some
serio,I laughed
cuidado,watch out
pasó,I pass
buenas,good
somos,are
amor,love
puerta,door
ves,you see
vaya,Wow
ah,ah
suerte,lucky
eh,Hey
rápido,Quick
cuenta,bill
quizás,maybe
esas,those
pues,well
pasado,last
pensé,I thought
todavía,yet
debes,you should
casi,almost
forma,form
aqui,here
chico,guy
ok,okay
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,inside
hice,I made
contra,against
auto,car
camino,road
ayuda,help
primera,first
hacia,toward
vi,saw
miedo,afraid
adiós,goodbye
primero,first
debería,it should
poder,can
niños,children
sería,would
historia,history
hey,hey
mientras,While
ciudad,city
dijiste,said
espero,wait
cuánto,how much
esposa,wife
pronto,early
chicos,Boys
cualquier,any
viejo,old
debemos,must
deja,leaves
año,year
muerte,death
hablando,speaking
manos,hands
loco,mad
problemas,problems
mano,hand
guerra,war
semana,week
pasar,happen
vale,OK
viene,comes
volver,return
toma,taking
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,persons
capitán,captain
adelante,ahead
niño,kid
listo,ready
noches,nights
buenos,good
juntos,together
dame,give to me
único,unique
déjame,let me
cerca,near
otros,others
sigue,go on
grande,big
arriba,above
jefe,boss
habla,speaks
supongo,I suppose
manera,way
quieren,they want
feliz,happy
significa,it means
sangre,blood
fin,finish
bajo,under
llama,call
venir,come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listens
entrar,get in
ningún,any
corazón,heart
diablos,Devils
necesitamos,we need
atrás,behind
durante,during
dices,say
nuestros,our
persona,person
abajo,down
dr,dr
hija,daughter
dejar,let
necesita,needs to
llegar,reach
hago,I make
señora,Lady
haya,is
suficiente,enough
doctor,doctor
gustaría,would like
tierra,land
cara,face
siquiera,at least
genial,brilliant
supuesto,supposed
tomar,take
equipo,team
justo,fair
juego,play
ninguna,none
matar,kill
cinco,five
dicen,say
amo,love
cuándo,when
pequeño,little
algunos,Some
conozco,know
clase,class
maldito,damned
unas,nails
hubiera,had
segundo,second
aunque,even though
pueda,can
dime,tell me
igual,same
comida,meal
ay,Oh
cuerpo,body
encontrar,meet
fuerte,strong
vuelta,return
creer,believe
realidad,reality
saben,they know
puta,bitch
deberías,you should
pregunta,question
fui,I was
cuatro,four
sra,Ms
primer,first
trabajar,to work
e,and
hagas,you do
alto,high
maldita,damned
comer,eat
número,number
dar,give
punto,point
misma,same
última,last
afuera,outside
mujeres,women
pensar,to think
fueron,They were
difícil,hard
vivir,to live
paso,He passed
malo,bad
estabas,you were
vivo,alive
haga,make
queda,remains
hijos,sons
mayor,higher
fiesta,party
hacen,make
medio,half
algunas,some
basta,Enough
arma,weapon
vino,wine
meses,months
cuarto,room
éste,East
escuela,school
esté,East
dólares,Dollars
posible,possible
tuve,I had
fácil,easy
preocupes,worry
luz,light
eran,were
carajo,fuck
final,final
lista,ready
trata,about
armas,weapons
hermana,sister
exactamente,exactly
chicas,girls
bastante,Quite
seguridad,security
pasando,going
esperando,waiting
acá,here
teléfono,telephone
perro,dog
fuego,fire
murió,he died
tampoco,either
sola,alone
estuvo,he was
verte,to see you
iré,I will go
tenido,Dyed
culpa,guilt
veras,you will see
adónde,where to
buscando,searching
cuanto,how much
paz,peace
demonios,demons
estará,will be
cual,which
perdón,sorry
asi,So
jugar,play
pensando,thinking
esperar,expect
sabemos,we know
recuerdo,memory
par,pair
joven,young man
seguir,"follow, continue"
pueblo,town
tenga,have
caballeros,gentlemen
idiota,moron
dio,it gave
minuto,minute
bebé,baby
única,only
lejos,far
nuestras,our
plan,plan
pienso,I think
sentido,sense
dormir,to sleep
digas,you say
palabra,word
correcto,Right
control,control
vemos,we see
entiendes,you understand
país,country
seis,six
último,latest
ésta,is
diga,tell
podrías,could you
pequeña,little
cállate,shut up
trato,treatment
rey,King
sucede,happens
muchachos,boys
jamás,Never
cama,bed
srta,Ms
ayudar,to help
acerca,about
cambio,change
falta,lack
hospital,hospital
lleva,carries
presidente,President
mil,one thousand
gusto,taste
conoces,you know
diciendo,saying
os,you
ido,gone
general,general
extraño,strange
semanas,weeks
coche,car
peor,worse
mucha,a lot
disculpe,excuse me
diré,I'll say
anoche,last night
perder,to lose
vámonos,Let's go
nave,ship
cielo,sky
habrá,there will be
orden,order
segura,safe
querida,Dear
niña,girl
increíble,amazing
además,what's more
deben,should
libro,book
calle,Street
café,coffee
piensas,think
hacemos,we make
especial,special
queremos,we want
perfecto,perfect
buscar,search
odio,hate
piensa,think
oficina,office
hablas,speak
libre,free
agente,agent
york,york
llamar,call
mala,bad
detrás,behind
viste,dresses
dile,tell him
grandes,big
recuerdas,remember
real,real
estaban,were
mía,mine
frente,forehead
perdido,lost
llamo,I call
muertos,dead
millones,millions
